	add	sub	mul	div	sqrt	square	cube	ln	exp	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	const	const/expr
74	0.02	0.785	0.91	0.905	0.03	0.02	0.03	0.025	0.985	0.0	0.005	0.745	0.745	0.005	0.01	0.005	0.005	0.0	0.02	0.015	0.005	0.005	0.795	0.01	0.02	0.0	0.01	0.005	0.005	0.025	0.005	0.01	0.005	0.005	0.775	0.01	0.01	0.015	0.01	0.015	0.01	0.005	0.005	0.01	0.91	1.655
75	0.0	0.765	0.935	0.94	0.02	0.02	0.025	0.03	0.98	0.005	0.0	0.775	0.765	0.015	0.005	0.0	0.0	0.015	0.005	0.005	0.0	0.015	0.78	0.01	0.01	0.015	0.01	0.005	0.01	0.005	0.015	0.0	0.005	0.01	0.795	0.01	0.01	0.005	0.0	0.015	0.0	0.0	0.01	0.01	0.92	1.685
76	0.01	0.795	0.97	0.955	0.015	0.035	0.01	0.015	0.995	0.005	0.02	0.775	0.79	0.005	0.005	0.005	0.005	0.005	0.02	0.0	0.005	0.015	0.75	0.01	0.015	0.01	0.005	0.015	0.005	0.02	0.0	0.01	0.01	0.005	0.805	0.015	0.0	0.015	0.01	0.005	0.025	0.01	0.01	0.01	0.945	1.69
77	0.005	0.795	0.92	0.925	0.03	0.02	0.02	0.035	0.99	0.005	0.015	0.765	0.745	0.02	0.0	0.01	0.0	0.005	0.005	0.0	0.0	0.015	0.76	0.005	0.005	0.01	0.0	0.02	0.01	0.005	0.0	0.025	0.005	0.0	0.74	0.025	0.005	0.01	0.01	0.01	0.01	0.0	0.0	0.005	0.94	1.66
78	0.01	0.81	0.92	0.935	0.015	0.01	0.01	0.025	0.975	0.015	0.005	0.78	0.78	0.005	0.005	0.025	0.005	0.005	0.0	0.01	0.01	0.02	0.785	0.0	0.005	0.0	0.02	0.01	0.0	0.02	0.005	0.01	0.0	0.01	0.765	0.015	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.015	0.94	1.72
79	0.005	0.805	0.94	0.95	0.01	0.005	0.01	0.015	0.99	0.02	0.01	0.785	0.775	0.0	0.0	0.015	0.01	0.015	0.015	0.0	0.0	0.01	0.785	0.0	0.005	0.01	0.025	0.015	0.0	0.005	0.005	0.005	0.0	0.0	0.785	0.025	0.01	0.01	0.0	0.005	0.0	0.0	0.015	0.005	0.94	1.725
80	0.03	0.815	0.92	0.94	0.02	0.035	0.01	0.02	1.0	0.005	0.01	0.775	0.77	0.005	0.0	0.005	0.0	0.005	0.005	0.015	0.015	0.01	0.805	0.015	0.01	0.01	0.01	0.01	0.0	0.01	0.005	0.0	0.005	0.0	0.785	0.01	0.01	0.01	0.02	0.0	0.005	0.0	0.005	0.005	0.925	1.695
81	0.01	0.785	0.915	0.935	0.01	0.03	0.035	0.025	0.975	0.005	0.01	0.76	0.8	0.005	0.0	0.0	0.015	0.01	0.005	0.005	0.01	0.015	0.77	0.015	0.02	0.01	0.01	0.01	0.0	0.005	0.0	0.005	0.025	0.005	0.77	0.005	0.015	0.01	0.0	0.005	0.015	0.005	0.015	0.0	0.9	1.685
82	0.02	0.775	0.93	0.92	0.015	0.01	0.015	0.015	0.98	0.005	0.0	0.73	0.81	0.015	0.0	0.015	0.015	0.0	0.01	0.005	0.015	0.0	0.775	0.015	0.015	0.01	0.0	0.015	0.015	0.01	0.005	0.005	0.015	0.0	0.77	0.0	0.005	0.0	0.005	0.005	0.02	0.01	0.005	0.005	0.915	1.66
83	0.055	0.78	0.905	0.93	0.01	0.01	0.02	0.01	0.985	0.01	0.02	0.765	0.785	0.005	0.01	0.02	0.025	0.015	0.01	0.01	0.005	0.015	0.745	0.01	0.01	0.01	0.015	0.015	0.005	0.005	0.005	0.005	0.01	0.025	0.775	0.005	0.025	0.0	0.01	0.005	0.01	0.0	0.02	0.005	0.895	1.655
84	0.015	0.81	0.92	0.955	0.02	0.01	0.015	0.025	0.98	0.005	0.005	0.78	0.8	0.005	0.015	0.0	0.005	0.005	0.015	0.005	0.005	0.01	0.79	0.01	0.01	0.01	0.01	0.01	0.005	0.01	0.01	0.005	0.0	0.0	0.84	0.005	0.01	0.0	0.005	0.005	0.01	0.0	0.015	0.0	0.96	1.735
85	0.04	0.775	0.895	0.915	0.025	0.025	0.03	0.03	0.975	0.015	0.0	0.74	0.76	0.005	0.005	0.015	0.015	0.005	0.005	0.015	0.01	0.01	0.76	0.01	0.025	0.01	0.015	0.01	0.005	0.025	0.005	0.01	0.015	0.005	0.775	0.01	0.005	0.0	0.015	0.0	0.015	0.005	0.02	0.015	0.9	1.68
