	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	nonstereo_aromatic_smiles	zinc_id	QED	SA_score
437375	356.1888634	0.208333333	27	332.277	160.200631	12.48338362	0.321751134	12.48338362	0.255165826	0.066898268	0.255165826	-0.066898268	-0.321751134	109.8342	356.469	1	3	0	1	1	3	0	3	2	1	3	0	4	0	0	0	136	4	32.34	4.806	Cc1ccccc1NC(=O)c2ccc(cc2)CN3CCc4ccccc4C3	ZINC000019770344	0.727766349	1.75376491
202702	322.0266797	0.363636364	20	312.663	121.5973076	12.52429974	0.433687017	12.52429974	0.433687017	0.296304327	0.344995329	-4.4267722	-0.344995329	70.8127	322.743	1	4	0	0	0	0	2	2	5	1	9	0	4	0	0	0	108	2	50.7	4.169	CCC(c1nc(cs1)C(F)(F)F)Nc2ncc(cn2)Cl	ZINC000240407406	0.917580676	3.233689636
915447	307.1532062	0.533333333	22	286.182	128.8351601	11.98008314	0.481181604	11.98008314	0.304633096	0.088984841	0.304633096	-0.946016824	-0.481181604	81.045	307.35	2	7	0	1	1	0	1	1	5	2	7	0	5	0	1	1	120	2	91.76	0.9	CC1CN(CC(O1)C)c2ccnc(c2)C(=O)NCCC(=O)O	ZINC000263566745	0.839532803	3.004951526
304451	401.138699	0.3	29	381.234	165.0567761	13.01568069	0.46228005	13.01568069	0.342103088	0.012887793	0.342103088	-0.680412588	-0.46228005	101.8365	401.394	0	8	0	0	0	1	2	3	7	0	9	0	6	0	0	0	152	3	94.64	2.272	CCOC(=O)c1c(oc2c1c(=O)n(cn2)CC(=O)N(C)Cc3ccc(cc3)F)C	ZINC000013012555	0.588356271	2.41761396
809686	385.1260261	0.2	27	365.304	161.1226569	12.89731934	0.496406124	12.89731934	0.230244175	0.100771605	0.230244175	-0.289337954	-0.496406124	103.2937	385.464	1	5	0	0	0	2	1	3	5	1	7	0	8	0	0	0	140	3	56.15	3.488	COc1ccccc1Cn2ccnc2SCC(=O)NCc3ccc(cc3)F	ZINC000007417081	0.60334094	2.046680991
292627	459.2369358	0.458333333	33	426.279	193.8121549	12.50337067	0.496543903	12.50337067	0.31883055	0.167500394	0.31883055	-0.867333117	-0.496543903	124.885	459.543	4	9	0	1	1	2	0	2	7	4	9	0	10	0	1	1	180	3	112.52	1.489	CN(CCc1ccccc1)C2C(OC(C2O)CO)CNC(=O)Nc3cc(cc(c3)OC)OC	ZINC000020465815	0.42585912	3.571192565
49449	478.1407829	0.24	34	455.752	201.2875812	13.57903578	0.476538883	13.57903578	0.262376577	0.030232164	0.262376577	-0.721964557	-0.476538883	128.0387	478.936	1	8	0	2	2	2	1	3	6	1	9	0	5	0	0	0	174	5	87.38	3.624	CNC(=O)C1CN(c2ccccc2O1)CC(=O)N3C(CC(=N3)c4ccc(cc4)Cl)c5ccco5	ZINC000009465765	0.604811608	3.36446688
169967	452.2423555	0.52	33	420.299	193.8624961	13.86372433	0.464228666	13.86372433	0.358624043	0.036692222	0.358624043	-1.183688705	-0.464228666	124.2337	452.555	1	8	1	1	2	1	1	2	6	1	8	0	5	1	0	1	176	4	93.53	3.49	CCc1cccc(c1)N2C(=O)c3c(ncn3CC2(C)C(=O)NC4CCCCCC4)C(=O)OC	ZINC000021873220	0.553691776	3.208356027
654812	258.0979977	0.5	18	245.139	102.6177767	12.22587727	0.397284064	12.22587727	0.397284064	0.053836924	0.333521924	-4.45005976	-0.333521924	58.481	258.243	0	3	1	0	1	0	1	1	2	0	6	0	4	1	0	1	98	2	33.2	2.525	c1ccnc(c1)CN(C2CC2)C(=O)CC(F)(F)F	ZINC000044610574	0.831041496	2.313567074
472392	314.1441989	0.6	22	294.172	127.5641866	12.19845726	0.471571172	12.19845726	0.271608611	0.012674556	0.271608611	-2.579169737	-0.471571172	76.2332	314.332	1	5	0	1	1	0	1	1	4	1	7	0	5	0	1	1	122	2	60.45	2.411	CC1CC(CC(O1)C)NC(=O)c2cccc(n2)OCC(F)F	ZINC000122730195	0.906494025	3.399108398
